ASCII Value,Hex value,Organization Name,Organization Address,Phone,Fax,Statement of intention to apply the assigned RID,Date of intended implementation of the RID,Name of Authorized Representative,Authorized Representative Title,Authorized Representative Address,Date Identifier Registered
CDNT,43-44-4e-54,Cadent,"1675 Broadway
22nd Floor
New York, NY 10019",+12127961960,,"Cadent is in need of an assigned RID as we send messages to distributor end points for use cases such as blackouts and triggering dynamic ad insertion.",2023-07-01,Brett Angell,"VP, Product Management","1675 Broadway
22nd Floor
New York, NY 10019",2023-06-21
CUEI,43-55-45-49,Society of Cable Telecommunications Engineers,"140 Philips Road, Exton, PA 19341 USA",+1 610 363 0438,+1 610 363 5898,"Purpose: We intend to utilize the format identifier CUEI in our standard SCTE 35 2003, Digital Program Insertion Cueing Message for Cable",2004-01-01,Stephen P. Oksala,"Vice President, Standards","140 Philips Road, Exton, PA 19341 USA",2003-11-17
DDED,44-44-45-44,LGEUS,"2000 Millbrook Drive, Lincolnshire, IL 60069 USA",+1-847-941-8905,+1-847-941-8826,"This RID is used for Digital Delivery with encryption and decryption",2004-09-01,Timothy Frahm,"Director, Advanced Product Development","2000 Millbrook Drive, Lincolnshire, IL 60069 USA",2004-08-11
DISC,44-49-53-43,"DISCOVERY COMMUNICATIONS, LLC.","ONE DISCOVERY PLACE
SILVER SPRING, MD 20910-3354",240-662-2000,,"Discovery Communications, LLC., hearby request the registration of format_identifier ""DISC"" to be used as Private Unique Program Identifier as described in SCTE-35",2016-06-30,Ron Yoslov,Vice-President,"45580 Terminal Drive
Sterling, VA 20166-4346
571-262-3377
dttcbroadcast_engineering@discovery.com",2016-05-04
DISH,44-49-53-48,EchoStar Communications Corporation,"Attn: Systems, 5701 S. Santa Fe, Littleton, CO 80120 USA",+1 303 706 4514,+1 303 799 6222,"RID will be used to identify MPEG streams that come from EchoStar's broadcast network.",2002-06-30,John Card II,Systems Engineer,"90 Inverness Circle East, Englewood, CO 80112",2003-03-11
dmat,64-6d-61-74,"Dolby Laboratories, Inc.","1275 Market St., San Francisco, CA 94103",+1 415 558 0312,,"Dolby Laboratories, Inc. wishes to register the hex value 64 6d 61 74 (ASCII value ³dmat"") as the audio elementary stream ID format_identifier for the Dolby MAT audio format. This format is used for delivery of audio and time-aligned metadata between consumer electronics devices.",2017-01-01,David Roh,Business Development Manager,"1275 Market St., San Francisco, CA 94103",2015-10-01
DRA1,44-52-41-31,Digital Rise,"6th Floor, Building 2, Science and Technology Park, Huanan University of Science and Technology, Wushan Road, Tianhe District, Guangzhou City, Guangdong Province, People's Republic of China",+86-20-2223 7078,+86-20-2223 7189,"DRA1 is to be used for DRA digital audio standard (Chinese Electronic Industry Standard, Specification for Multichannel Digital Audio Coding Technology SJ/T11368-2006) in broadcast and television industry.",2008-02-25,Jihao Lun,Project manager,"6th Floor, Building 2, Science and Technology Park, Huanan University of Science and Technology, Wushan Road, Tianhe District, Guangzhou City, Guangdong Province, People's Republic of China",2008-02-25
drac,64-72-61-63,British Broadcasting Corporation,"BBC Research, Kingswood Warren, Woodland Way, Kingswood, TADWORTH, KT20 6NP, UK",+44 1737 839500,+44 1737 839665,"The BBC wishes to use ""drac"" as the format identifier for the Dirac codec within an MPEG-2 transport stream. The Dirac specification is available publicly at http://dirac.sourceforge.net/specification.html and a mapping specification for use with MPEG-2 Transport Streams is available publicly at http://schrodinger.sourceforge.net/dirac-in-13818-1-mapping.pdf",2008-06-28,David Flynn,Research Engineer,"BBC Research, Kingswood Warren, Woodland Way, Kingswood, TADWORTH, KT20 6NP, UK",2008-06-28
DTG1,44-54-47-31,Digital TV Group,"5th Floor, 89 Albert Embankment, Vauxhall, London, SE1 7TP, UK",+44 20 7840 6500,,"Active region descriptions may be broadcast to describe the portion of the 16:9 or 4:3 coded
frame that is “of interest”. The region descriptions are informative in nature and are provided to assist receivers to optimise their presentation of video. The active regions definitions are carried in the user data of the video elementary stream.",1997-06-01,Ian Medland,"Associate Director, DTG Testing","5th Floor, 89 Albert Embankment, Vauxhall, London, SE1 7TP, UK",2019-02-15
DTS1,44-54-53-31,DTS Inc.,"5171 Clareton Drive, Agoura Hills, CA 91301 USA",+1 818 706 3525,+1 818 706 1868,"DTS wishes to register three format_identifiers (DTS1, DTS2, DTS3) to correspond to the three DTS frame sizes of 512, 1024 and 2048.",2002-08-05,Ted Laverty,Director of Business Development,"Enterprise House, Balloo Avenue, Bangor, Co. Down, BT19 7QT, Northern Ireland",2002-08-02
DTS2,44-54-53-32,DTS Inc.,"5171 Clareton Drive, Agoura Hills, CA 91301 USA",+1 818 706 3525,+1 818 706 1868,"DTS wishes to register three format_identifiers (DTS1, DTS2, DTS3) to correspond to the three DTS frame sizes of 512, 1024 and 2048.",2002-08-05,Ted Laverty,Director of Business Development,"Enterprise House, Balloo Avenue, Bangor, Co. Down, BT19 7QT, Northern Ireland",2002-08-02
DTS3,44-54-53-33,DTS Inc.,"5171 Clareton Drive, Agoura Hills, CA 91301 USA",+1 818 706 3525,+1 818 706 1868,"DTS wishes to register three format_identifiers (DTS1, DTS2, DTS3) to correspond to the three DTS frame sizes of 512, 1024 and 2048.",2002-08-05,Ted Laverty,Director of Business Development,"Enterprise House, Balloo Avenue, Bangor, Co. Down, BT19 7QT, Northern Ireland",2002-08-02
DTVI,44-54-56-49,DTV Innovations,"1252 W. Northwest Highway, Palatine, IL 60067, USA",+1 847 919 3550,+1 847 991 9505,"We have developed data broadcasting products and want a format identifier to provide a method of identifying the underlying private data.",2010-07-23,Christpher Knechtel,President and Founder,"DTV Innovations, 1252 W. Northwest Highway, Palatine, IL 60067, US",2010-07-22
DVDF,44-56-44-46,DVD Format/Logo Licensing Corporation,"Shiba Shimizu Bldg. 5F, 2-3-11 Shibadaimon, Minato-ku, Tokyo 105-0012 Japan",+81-3-5777-2883,+81-3-5777-2884,"The purpose of the assigned RID (DVDF:MPEG Transport Stream for DVD equipments defined by DVD Forum) is to indicate that stream is in conformity with DVD Stream Format Standard.",2001-07-01,Makoto Inabayashi,President,"Shiba Shimizu Bldg. 5F, 2-3-11 Shibadaimon, Minato-ku, Tokyo 105-0012 Japan",2001-06-25
EAC3,45-41-43-33,"Dolby Laboratories, Inc.","100 Potrero Avenue San Francisco CA 94103-4813 USA",+1 415 558 0200,+1 415 645 4000,"The RID will be used for Insertion, transmission and inspection of private data for various Arris products.",2009-10-01,Mike Ward,"Senior Manager, Business Development","Dolby Laboratories, Inc., 100 Potrero Avenue San Francisco CA 94103-4813 USA",2011-04-22
EBP0,45-42-50-30,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP1,45-42-50-31,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP2,45-42-50-32,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP3,45-42-50-33,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP4,45-42-50-34,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP5,45-42-50-35,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2013-01-01
EBP6,45-42-50-36,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP7,45-42-50-37,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP8,45-42-50-38,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
EBP9,45-42-50-39,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 3842,+1 303 661 9199,"To be used in CableLabs specification OC-SP-EBP-D01-12XXXX",2013-01-01,Mukta L Kar,Senior Adviser,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2012-11-08
ETV1,45-54-56-31,"Cable Television Laboratories, Inc.","858 Coal Creek Circle, Louisville, Colorado 80027-9750",+1 303 661 9100,+1 303 661 9199,"Cablelabs wishes to register the hex value of 45-54-56-31 (ASCII value ""ETV1"") as the etv_format_identifier in the registration descriptor. The etv registration descriptor is defined for use in the elementary stream information loop of the PMT. The ETV registration descriptor SHALL be carried in the elementary stream information loop of the PMT for each program component that conveys an ETV integrated signaling stream or ETV application resource stream.",2007-10-17,Bob Mechler,Software Specification Engineer,"858 Coal Creek Circle, Louisville, Colorado 80027-9750",2007-10-17
FOXC,46-4f-58-43,FOX Corporation ,"10201 W Pico Blvd
Los Angeles, California  90064-2674",(310) 369-6644,,"Custom UPID and signaling information",2021-02-22,Alastair Hamilton,"SVP, Distribution Engineering Standards & Architecture","10201 W Pico Blvd
Los Angeles, California  90064-2674",
GA94,47-41-39-34,Advanced Television Systems Committee,"1750 K Street NW , Suite 1200, Washington, DC 20006 USA",+1 202 828-3130,+1 202 828-3131,"The ATSC wishes to register the hex value 47-41-39-34 (ASCII value ""GA94"") as the program ID format_identifier. The ATSC standard requires that a registration_descriptor() appear in the program loop in the Program Map Table (PMT) to identify each program that conforms to ATSC A/53.",1995-09-16,Mark S. Richer,ATSC Executive Director,"1750 K Street NW, Suite 1200, Washington, DC 20006 USA",2000-05-22
GWKS,47-57-4b-53,GuideWorks,"150 N Radnor Chester Rd 300C, Radnor, PA 19088 USA",+1 610 535 4330,+1 610 535 4369,"""GWKS"" identifies the stream that contains the interactive program guide data",2005-12-19,Robert Knee,Chief Architect,"150 N Radnor Chester Rd 300C, Radnor, PA 19088 USA",2006-01-05
HDMV,48-44-4d-56,Sony Corporation,"Shinagawa INTERCITY C Tower Shinagawa Tec.2-15-3 Konan Minato-ku, Tokyo, 108-6201 Japan",+81-3-5769-5267,+81-3-5769-5729,"This RID is used for identification of the stream which conforms to the specification of ""System Description Blu-ray Disc Read-Only Format part 3 Audio Visual Basic Specifications""",2099-12-31,Masanobu Nakamura,General Manager,"Shinagawa INTERCITY C Tower Shinagawa Tec.2-15-3 Konan Minato-ku, Tokyo, 108-6201 Japan",2004-05-26
HDMX,48-44-4d-58,Matsushita Electric Industrial Co. Ltd,"1-15 Matsuo-cho Kadoma Osaka 571-8504 Japan",+81,,"Matsushita wishes to register the hex value of 48-44-4D-58 (ASCII value ""HDMX"") “HDMX” identifies the transport stream",2007-10-17,Kazuhiko Nakamura,Representative,"1-15 Matsuo-cho Kadoma Osaka 571-8504 Japan",2007-10-22
HDPR,48-44-50-52,Network Business Group,"AVC Networks Company, Panasonic Corporation, 1-15 Matsuo-cho,Kadoma City,Osaka 571-8504 Japan",+81-6-6905-5391,+81-6-6908-1691,"The RID ""HDPR"" indicates that the stream format conforms to our new products",2010-02-01,Eiji Yamauchi,Manager,"Network Business Group, AVC Networks Company, Panasonic Corporation, 1-15 Matsuo-cho,Kadoma City,Osaka 571-8504 Japan",2010-02-11
HLIT,48-4c-49-54,Harmonic Inc.,"4300 North First Street, San Jose, CA 95134",+1 408-490-6194,,"This RID will be used to identify coding decisions in bitstreams produced by Harmonic encoders",2013-08-05,Patrick Waddell,"Manager, Standards & Regulatory","4300 North First Street, San Jose, CA 95134",2013-08-05
ID3,49-44-33-20,"Organization	Apple, Inc.","1 Infinite Loop, Cupertino, CA 95014, USA",+1 408 996 1010,,"We wish to be able to place ID3 metadata in streams, and we intend to deploy such streams on the public internet at some point.",2010-06-30,David Singer,	Multimedia and Software Standards,"1 Infinite Loop, Cupertino, CA 95014, USA",2010-06-18
KLVA,4b-4c-56-41,Society of Motion Picture and Television Engineers,"3 Barker Avenue, White Plains, NY 10601 USA",+1 914 761 1100,+1 914 761 3115,"KLV Data as specified in SMPTE Recommended Practice RP 217-2001 - Non-synchronized Mapping of KLV Packets into MPEG-2 Systems Streams, shall use this format_identifier.",2001-06-15,Peter Symes,"Director, Standards & Engineering","3 Barker Avenue, White Plains, NY 10601 USA",2001-03-22
LASL,4c-41-53-4c,LaSalle Media LLC,"8908 Cornell Drive
Laredo, TX 78045",9563373323,,"The TSID will be used for KLMV tv station in Laredo, Texas. ",2020-09-21,Jose Martinez,Owner,"8908 Cornell Drive
Laredo, TX 78045",
LIPS,4c-49-50-53,Society of Motion Picture and Television Engineers,"3 Barker Avenue, White Plains, NY 10601 USA",+1 914 761 1100,+1 914 761 3115,"For use with ST 2064 family of standards",2015-09-30,Peter Symes,"Director, Standards & Engineering","3 Barker Avenue, White Plains, NY 10601 USA",2015-03-03
LU-A,4c-55-2d-41,Harris Corporation,"1160 Route 22 East Bridgewater, NJ 08807, USA",+1 908 927 1201,+1 908 927 1233,"The data indicated by this ID is defined in SMPTE RDD-11.",2007-10-31,John Mailhot,"General manager, Video Networking","1160 Route 22 East Bridgewater, NJ 08807, USA",2007-10-31
mlpa,6d-6c-70-61,"Dolby Laboratories, Inc.","1275 Market St., San Francisco, CA 94103",+1 415 558 0312,,"Dolby Laboratories, Inc. wishes to register the hex value 6d 6c 70 61 (ASCII value ""mlpa"") as the audio elementary stream ID format_identifier for the MLP audio format (also known as Dolby TrueHD). This format is used for lossless audio compression and delivery.",2017-01-01,David Roh,Business Development Manager,"1275 Market St., San Francisco, CA 94103",2015-10-01
MTRM,4d-54-52-4d,"Victor Company of Japan, Limited","3-12 Moriya-cho, Kanagawa-ku, Yokohama 221-8528, Japan",+81 45 450 2525,+81 45 450 2450,"The purpose of the assigned RID (MTRM: MPEG Transport Stream for Recording Media) is to indicate that the stream is in conformity with the D-VHS Stream Format Standard.",2000-06-01,Yasuhiro Ayabe,"Manager, Administration Section, VHS Standard Center","8/F Uchi-kanda Central Bldg., 2-12-6 Uchi-kanda, Chiyoda-ku, Tokyo 101-0047, Japan",2000-05-23
NBCU,4e-42-43-55,NBC Universal,"900 Sylvan Ave, Englewood Cliffs NJ 07632",2017356878,,"To be used in SCTE 35 for custom UPIDs and data carriage",2020-01-31,Matt Remis,"Manager, Video Streaming","900 Sylvan Ave, Englewood Cliffs NJ 07632",
NFLX,4e-46-4c-58,Netflix Inc.,"121 Albright Way
Los Gatos, CA 95032, USA",+1 (646) 858-8837,,"Netflix Inc. wishes to register the format identifier of 'NFLX' to be used as a Private Unique Program Identifier as described in the SCTE-35 Standard. ",2025-05-01,Krystal Mejia,Software Engineer,"121 Albright Way
Los Gatos, CA 95032, USA",
NMR1,4e-4d-52-31,Nielsen Media Research,"501 Brooker Creek Boulevard, Oldsmar, FL 34677 USA",+1 727 738 7078,+1 727 738 7149,"Purpose: content identification for audience measurement",2003-01-01,Paul Kempter,"Director, Television Technology and Industry Standards","501 Brooker Creek Boulevard, Oldsmar, FL 34677 USA",2003-08-27
NPO1,4e-50-4f-31,"Nederlandse Publieke Omroep (NPO, Dutch Public Broadcasting)","Bart de Graaffweg 2, 1217 ZL Hilversum, The Netherlands",+31 35 677 2050,31 35 677 745,"Requesting a registered private identifier as part of our SCTE-104 and SCTE-35
implementation, utilizing a managed private UPID. A reserved format_identifier is
required to comply with SCTE-35 specification, preferred name is NPO1",2016-12-31,Cees de Bruin,Director of Distribution and Broadcasting (NPO DDU),"NPO DDU, Bart de Graaffweg 2, 1217 ZL Hilversum, The Netherlands",2015-10-07
NWTV,4e-57-54-56,Digital TV Information Research Group,"AVC Network Development Center, Technology Planning & Development Center, Panasonic Corporation AVC Networks Company, 1-15 Matsuo-cho,Kadoma City,Osaka 571-8504 Japan",+81-6-6905-5283,+81-6-6905-4761,"The RID ""NWTV"" indicates that the stream format conforms to Digital TV Informatization Research Group's specification(http://nw-dtv.jp/)",2008-11-15,Kouichi Matsumura,Manager,"AVC Network Development Center, Technology Planning & Development Center, Panasonic Corporation AVC Networks Company, 1-15 Matsuo-cho,Kadoma City,Osaka 571-8504 Japan",2008-11-13
OMVC,4f-4d-56-43,Open Mobile Video Coalition (OMVC),"1200 G Street, NW, Suite 800, Washington, DC 20005, USA",+1-443-857-0200,,"This value is expected to be used by Mobile DTV broadcasters as part of the ATSC_private_information_descriptor() to scope the syntax and semantics of private data.",2012-01-31,Anne Schelle,OMVC Executive Director,"1200 G Street, NW, Suite 800, Washington, DC 20005, USA",2012-01-04
Opus,4f-70-75-73,Mozilla,"331 E. Evelyn Avenue, Mountain View, CA 94041",+1 (650) 903-0800,,"We intend to see this RID applied in various Open Source projects for the carriage of Opus audio in MPEG-TS",2015-05-01,Timothy B. Terriberry,.,"331 E. Evelyn Avenue, Mountain View, CA 94041",2014-05-05
PAUX,50-41-55-58,Philips DVS,"PO Box 80002, 5600 3B Eindhoven, The Netherlands",+31 35 689 1923,+31 35 689 1950,"Philips DVS wishes to apply two format identifers in one of its products (see also PRMC). PAUX identifies an elementary stream carrying low-speed data.",1998-06-01,R.J. Huis in't Veld,Architect,"Anthony Fokkerweg 5, 12003D Hilversum, The Netherlands",1998-05-03
PMSF,50-4d-53-46,Sony Corporation,"Shinagawa INTERCITY C Tower, 2-15-3 Konan, Minato-ku, Tokyo, 108-6201 Japan",+81 3 5769 5251,+81 3 5769 5731,"Partially Modified Stream Format Identifier (PMSF) is to identify the stream which is a Transport Stream modified partially by a DSM Digital Storage Media). Digital TV or Set Top Box is able to identify this kind of stream comes from a digital interface such as IEEE1394.",2003-06-30,Yoshikazu Takashima,.,"Section 1, Department 2, System Engineering Division, AV/IT Development Group, Sony Corporation Shinagawa INTERCITY C Tower, 2-15-3 Konan, Minato-ku, Tokyo, 108-6201 Japan",2002-07-13
PRMC,50-52-4d-43,Philips DVS,"PO Box 80002, 5600 3B Eindhoven, The Netherlands",+31 35 689 1923,+31 35 689 1950,"Philips DVS wishes to apply two format identifers in one of its products (see also PAUX). PRMC identifies an elementary stream carrying remote control data.",1998-06-01,R.J. Huis in't Veld,Architect,"Anthony Fokkerweg 5, 12003D Hilversum, The Netherlands",1998-06-03
PXSA,50-58-53-41,Proximus,"TEC/SPC/ASP
Boulevard, Roi Albert2, 27
1030 Brusssels", +3222024111 ,,"ProximusTV hereby requests the format_identifier 'PXMA' to be used as private Unique Program Identifier, as described in SCTE-35. ",2016-09-01,Thierry Demoor,Head of TV Platform,"TEC/SPC/ASP
Boulevard, Roi Albert2, 27
1030 Brusssels",2016-08-08
RTLN,52-54-4c-4e,RTL Nederland,"Barend en van Dorpweg 2
1217 WP Hilversum",+31356785234,,"RTL Nederland hereby requests the format_identifier 'RTLN' to be used as private Unique Program Identifier, as described in SCTE-35.",2016-06-01,Hank van de Loo,Technical Manager,"Barend en van Dorpweg 2
1217 WP Hilversum",2016-03-10
SBSB,53-42-53-42,SBS Broadcasting,"Rietlandpark 333, 1019 DW Amsterdam, The Netherlands",+31 20 800 7552,+31 20 800 7109,"SBS Broadcasting hereby requests the format_identifier 'SBSB' to be used as private Unique Program Identifier, as described in SCTE-35",2016-07-01,Maikel Bekker,Manager Broadcasting,"SBS Broadcasting, Rietlandpark 333, 1019 DW Amsterdam, The Netherlands",2016-01-31
SCTE,53-43-54-45,Society of Cable Telecommunications Engineers,"140 Philips Road, Exton, PA 19341 USA",+1 610 524 1725,+1 610 363 5898,"Purpose: We intend to utilize the format identifier SCTE in our standard SCTE 54 2003, Digital Video Service Multiplex and Transport System for Cable Television",2004-02-20,Stephen P. Oksala,"Vice President, Standards","140 Philips Road, Exton, PA 19341 USA",2004-02-20
SEN1,53-45-4e-31,Sencore,"3200 Sencore Drive, Sioux Falls, SD 57107, USA",+1 605 339 0100,+1 605 339 0432,"The format_identifier SEN1 is used in an ATSC Private Information Descriptor to identify the source of a stream. It can be embedded in the VANC of an SDI signal in accordance with SMPTE RP207.",2007-04-20,Brian Matherly,New Product Research Engineer,"Sencore, 3200 Sencore Drive, Sioux Falls, SD 57107, USA",2007-04-10
SESF,53-45-53-46,Sony Corporation,"Sinagawa INTERCITY C Tower, 2-15-3 Konan Minato-ku, Tokyo, 108-6201 Japan",+81-3-5769-5267,+81-3-5769-5729,"Self-Encoded Stream Format identifier (SESF) is to identify the stream which conforms to ""System Description Blu-ray Disc ReWritable Format part 3 Audio Visual Basic Specifications"". Digital TV or Set Top Box is able to identify this kind of stream comes from a digital interface such as IEEE1394.",2002-06-01,Masanobu Nakamura,General Manager,"Section 3 Media Development Lab. Home Network Campany, Sony Corporation, Sinagawa INTERCITY C Tower, 2-15-3 Konan, Minato-ku, Tokyo, 108-6201 Japan",1999-08-25
SOPI,53-4f-50-49,Sony Corporation,"2-10-1 Osaki, Shinagawa-ku, Tokyo, 141-8610 Japan",+81-50-3750-8124,,"""SOPI"" is used to insert data to be used for private information to Sony products.",2013-01-01,Akio Ishikawa,.,"2-10-1 Osaki, Shinagawa-ku, Tokyo, 141-8610 Japan",2012-06-22
SPLC,53-50-4c-43,Society of Motion Picture and Television Engineers,"3 Barker Avenue, White Plains, NY 10601 USA",+1 914 761 1100,+1 914 761 3115,"SMPTE_splice_format_identifier to identify transport streams complying with SMPTE 312M - Proposed SMPTE Standard for Television - Splice Points for MPEG-2 Transport Streams",1998-04-13,Peter Symes,"Director, Standards & Engineering","3 Barker Avenue, White Plains, NY 10601 USA",1998-04-13
